,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
236,278.5358999,9.5669582,18h34m08.62s,09d34m01.05s,0.0386,0.0386,0.0087,10.743,0.02,55.4,18.12,10.675,0.019,56.2,15.98,1,0,,,5,59467.07221958,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.538869,127.827069
237,278.5359346,9.566953,18h34m08.62s,09d34m01.03s,0.0374,0.0339,0.0028,10.67,0.017,64.4,31.59,10.684,0.022,50.2,6.802,1,0,,,5,59467.20299543,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.650497,122.467564
238,278.5358708,9.566948,18h34m08.61s,09d34m01.01s,0.0366,0.0351,-0.0147,10.694,0.017,64.8,10.18,10.676,0.021,50.5,8.961,1,0,,,5,59467.33364391,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.488603,138.72284
239,278.5359125,9.5669683,18h34m08.62s,09d34m01.09s,0.0347,0.0323,-0.0119,10.662,0.015,71.2,21.59,10.693,0.02,53.8,6.779,1,0,,,5,59472.62682008,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.554754,122.017752
240,278.5359272,9.5668861,18h34m08.62s,09d34m00.79s,0.0362,0.0362,-0.0172,10.509,0.018,58.8,22.68,10.623,0.02,54.9,10.76,1,0,,,5,59669.36136848,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.788163,138.471318
241,278.535935,9.5669516,18h34m08.62s,09d34m01.03s,0.0383,0.0331,-0.0136,10.645,0.015,70.2,18.81,10.609,0.022,48.6,5.311,1,0,,,5,59669.49201731,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.654407,122.773123
242,278.535936,9.566954,18h34m08.62s,09d34m01.03s,0.0393,0.0363,-0.0123,10.671,0.016,65.9,24.95,10.683,0.022,49.1,6.488,1,0,,,5,59669.62253874,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.6527810000000001,121.966796
243,278.5359146,9.5669434,18h34m08.62s,09d34m01.00s,0.038,0.0359,-0.0188,10.666,0.016,68.4,22.01,10.687,0.022,48.7,5.576,1,0,,,5,59669.68786311,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.612847,128.769554
244,278.5358855,9.5669345,18h34m08.61s,09d34m00.96s,0.0358,0.0336,-0.0035,10.739,0.018,61.2,7.495,10.723,0.021,50.6,3.341,1,0,,,10,59669.75318758,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.559604,137.990121
245,278.5359185,9.5669772,18h34m08.62s,09d34m01.12s,0.038,0.0338,0.0071,10.679,0.019,56.5,23.49,10.658,0.021,52.2,6.98,1,0,,,5,59669.81851196,2788109001351064728,10.531,0.024,10.52,0.021,10.297,0.067,9.11,,1046661329,11.518,0.0289,10.896,0.0281,10.781,0.0302,0.55715,118.059631
