MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57562.509343  13.189  0.005 19253   90 o  0 5599.28 278.53578   9.56705 10093.29   870.90 4.79 3.74  34.1 -0.547 18.55 19.56 02a57562o0484o
57562.524807  13.181  0.005 19389   90 o  0 4837.36 278.53578   9.56705 10049.23   930.11 5.06 4.04  32.6 -0.536 18.50 19.58 02a57562o0509o
57566.486524  13.338  0.007 16775  123 o  0 2468.93 278.53578   9.56705  2395.03  9232.23 3.82 3.63 -63.3 -0.457 17.61 18.55 02a57566o0349o
57566.502307  13.336  0.009 16812  146 o  0 1567.46 278.53578   9.56705  2354.05  9291.99 3.79 3.63 -56.4 -0.462 17.34 18.19 02a57566o0375o
57570.439006  13.006  0.003 22786   71 o  0 10221.26 278.53578   9.56705  1337.04  9103.61 5.24 4.07  -6.2 -0.443 19.03 21.03 02a57570o0358o
57574.444632  13.756  0.004 11420   44 c  0 16292.73 278.53578   9.56705  9132.16  9385.53 4.33 3.64  82.1 -0.448 19.60 21.65 02a57574o0363c
57574.460350  13.797  0.004 10990   46 c  0 11615.17 278.53578   9.56705  9112.10  9348.55 4.27 3.58  83.1 -0.455 19.62 21.65 02a57574o0387c
57574.476066  13.795  0.004 11018   46 c  0 13075.53 278.53578   9.56705  9170.69  9429.26 4.26 3.62  82.6 -0.449 19.59 21.65 02a57574o0410c
57574.492166  13.813  0.004 10838   46 c  0 12372.02 278.53578   9.56705  9191.55  9312.53 4.19 3.54  83.1 -0.456 19.59 21.58 02a57574o0433c
57574.507771  13.822  0.004 10742   46 c  0 11394.90 278.53578   9.56705  9155.53  9371.43 4.30 3.63  82.6 -0.447 19.56 21.58 02a57574o0457c
57578.419799  13.857  0.004 10408   41 c  0 18386.10 278.53578   9.56705  2205.40  9100.23 3.94 3.71 -56.2 -0.454 19.59 21.57 02a57578o0317c
57578.435282  13.848  0.004 10492   43 c  0 14994.03 278.53578   9.56705  2186.21  9064.40 3.95 3.68 -54.4 -0.452 19.57 21.57 02a57578o0341c
57578.467337  13.861  0.005 10369   48 c  0 11723.49 278.53578   9.56705  2268.14  9026.97 3.87 3.68 -51.1 -0.450 19.38 21.31 02a57578o0388c
57578.482817  13.850  0.004 10467   46 c  0 11316.73 278.53578   9.56705  2230.34  9085.34 3.90 3.68 -54.3 -0.452 19.55 21.52 02a57578o0410c
57591.404886  13.140  0.004 20138   80 o  0 9231.00 278.53578   9.56705  8450.12   931.72 4.31 3.45  18.8 -0.569 18.63 19.69 02a57591o0309o
57591.425834  13.185  0.005 19315   88 o  0 6438.83 278.53578   9.56705  8432.70   897.96 4.38 3.55  19.2 -0.553 18.60 19.66 02a57591o0351o
57591.429278  13.165  0.004 19688   83 o  0 7966.64 278.53578   9.56705  8489.92   976.42 4.36 3.50  19.3 -0.552 18.61 19.66 02a57591o0357o
57591.442612  13.195  0.005 19140   88 o  0 5695.21 278.53578   9.56705  8512.21   858.81 4.44 3.42  19.6 -0.554 18.62 19.66 02a57591o0380o
57591.456155  13.154  0.004 19887   81 o  0 8738.75 278.53578   9.56705  8477.13   916.32 4.34 3.41  20.2 -0.559 18.62 19.65 02a57591o0403o
57600.382166  13.684  0.005 12205   61 c  0 2791.94 278.53578   9.56705  9907.89   958.22 5.46 4.25  30.5 -0.478 19.57 21.73 02a57600o0219c
57600.400290  18.057  0.923   217  201 c  0   0.18 278.53578   9.56705    38.46  1009.77 5.68 3.75 -22.0 -0.465 19.62 21.76 02a57600o0245c
57600.411165  13.612  0.004 13041   51 c  0 6266.51 278.53578   9.56705  9946.18   999.90 5.45 4.10  30.0 -0.485 19.58 21.73 02a57600o0260c
57600.415019  13.895  0.005 10046   51 c  0 5267.55 278.53578   9.56705    58.24   892.50 5.77 3.90 -23.3 -0.461 19.58 21.72 02a57600o0265c
